Senaryo,Talep_B_Mbps,Algoritma,Tekrar_Sayisi,Gecerli_Deneme,Basarisiz_Deneme,Ort_Maliyet,Std_Maliyet,En_Iyi_Maliyet,En_Kotu_Maliyet,Ort_Gecikme_ms,Ort_ReliabilityCost,Ort_ResourceCost,Ort_Sure_ms
87->193,98.0,GA,5,5,0,8.508193062135947,0.0,8.508193062135947,8.508193062135947,15.02,0.10922995309722958,4.827120381033891,19510.987758636475
87->193,98.0,ACO,5,5,0,9.194130434901114,0.6297923559153499,8.508193062135947,9.963732629026955,16.488,0.14295364234358615,4.536221710990196,36281.27980232239
94->68,115.0,GA,5,5,0,7.272705801094391,8.881784197001252e-16,7.27270580109439,7.27270580109439,13.129999999999999,0.1503575859893807,3.3129926264878797,10087.40644454956
94->68,115.0,ACO,5,5,0,8.93752755145402,0.943908630137254,7.830644037423199,10.6361870050225,16.137999999999998,0.15441264213707956,4.1110187940644805,37556.51521682739
97->7,45.0,GA,5,5,0,6.00353733354242,0.0,6.00353733354242,6.00353733354242,10.11,0.09100671715449699,4.6061765919803594,9629.747438430786
97->7,45.0,ACO,5,5,0,6.00353733354242,0.0,6.00353733354242,6.00353733354242,10.11,0.09100671715449699,4.6061765919803594,31209.57341194153
98->70,144.0,GA,5,5,0,7.445481946977546,0.0,7.445481946977546,7.445481946977546,11.22,0.12531701029637973,8.989434219443162,9776.719951629639
98->70,144.0,ACO,5,5,0,8.055647978367208,0.9082311100168736,7.445481946977546,9.84888608491992,13.51,0.10465692629543118,6.346254502392897,36776.06887817383
103->242,189.0,GA,5,5,0,3.362476052320438,0.0,3.362476052320438,3.362476052320438,6.05,0.07834769925919964,1.5698587127133912,480.28717041015625
103->242,189.0,ACO,5,5,0,3.362476052320438,0.0,3.362476052320438,3.362476052320438,6.05,0.07834769925919964,1.5698587127133912,19861.292552947998
108->129,84.0,GA,5,5,0,7.995789033494267,0.012297438425105615,7.985748217065999,8.010850258136669,14.376,0.18978941362095667,3.7542610470399014,10184.470415115356
108->129,84.0,ACO,5,5,0,8.436791722545747,0.468044995120779,7.985748217065999,9.012942179702481,15.028,0.18622871706693972,4.3346155371283235,34542.97289848328
142->136,82.0,GA,5,5,0,2.880010912918783,0.0,2.880010912918783,2.880010912918783,5.16,0.03525104113443521,1.4471780028922616,467.4075126647949
142->136,82.0,ACO,5,5,0,2.880010912918783,0.0,2.880010912918783,2.880010912918783,5.16,0.03525104113443521,1.4471780028922616,24202.311658859253
155->81,59.0,GA,5,5,0,7.653287198421127,8.881784197001252e-16,7.653287198421126,7.653287198421126,11.71,0.1405727595323072,8.780576852807165,18559.18221473694
155->81,59.0,ACO,5,5,0,8.220689458070712,0.6073008276813314,7.653287198421126,9.217670121914164,12.788,0.1463257270918938,8.913958699715717,52526.66850090027
159->177,47.0,GA,5,5,0,8.22668644481417,0.0,8.22668644481417,8.22668644481417,13.789999999999997,0.20013807724617377,6.358225108201592,18501.536226272583
159->177,47.0,ACO,5,5,0,10.527552127274951,2.1378658944437663,9.16727950073183,14.769521484112268,16.732,0.18559671910664763,10.529365557714787,50590.75946807861
